cafe_id,product_id,daily_demand
cafe_01,milk_full,11
cafe_01,milk_oat,3
cafe_01,milk_soy,1
cafe_01,milk_almond,2
cafe_01,bean_house,1
cafe_01,bean_single,1
cafe_01,bean_decaf,1
cafe_02,milk_full,51
cafe_02,milk_oat,12
cafe_02,milk_soy,7
cafe_02,milk_almond,6
cafe_02,bean_house,5
cafe_02,bean_single,3
cafe_02,bean_decaf,2
cafe_03,milk_full,14
cafe_03,milk_oat,6
cafe_03,milk_soy,3
cafe_03,milk_almond,2
cafe_03,bean_house,2
cafe_03,bean_single,2
cafe_03,bean_decaf,1
cafe_04,milk_full,23
cafe_04,milk_oat,6
cafe_04,milk_soy,3
cafe_04,milk_almond,1
cafe_04,bean_house,3
cafe_04,bean_single,2
cafe_04,bean_decaf,1
cafe_05,milk_full,13
cafe_05,milk_oat,3
cafe_05,milk_soy,2
cafe_05,milk_almond,2
cafe_05,bean_house,2
cafe_05,bean_single,1
cafe_05,bean_decaf,0
cafe_06,milk_full,16
cafe_06,milk_oat,3
cafe_06,milk_soy,3
cafe_06,milk_almond,2
cafe_06,bean_house,1
cafe_06,bean_single,1
cafe_06,bean_decaf,1
cafe_07,milk_full,14
cafe_07,milk_oat,2
cafe_07,milk_soy,2
cafe_07,milk_almond,1
cafe_07,bean_house,1
cafe_07,bean_single,1
cafe_07,bean_decaf,1
cafe_08,milk_full,48
cafe_08,milk_oat,14
cafe_08,milk_soy,8
cafe_08,milk_almond,6
cafe_08,bean_house,3
cafe_08,bean_single,1
cafe_08,bean_decaf,1
cafe_09,milk_full,22
cafe_09,milk_oat,3
cafe_09,milk_soy,5
cafe_09,milk_almond,3
cafe_09,bean_house,3
cafe_09,bean_single,1
cafe_09,bean_decaf,0
cafe_10,milk_full,21
cafe_10,milk_oat,5
cafe_10,milk_soy,4
cafe_10,milk_almond,1
cafe_10,bean_house,3
cafe_10,bean_single,1
cafe_10,bean_decaf,1
cafe_11,milk_full,16
cafe_11,milk_oat,3
cafe_11,milk_soy,1
cafe_11,milk_almond,2
cafe_11,bean_house,1
cafe_11,bean_single,0
cafe_11,bean_decaf,1
cafe_12,milk_full,35
cafe_12,milk_oat,7
cafe_12,milk_soy,4
cafe_12,milk_almond,7
cafe_12,bean_house,3
cafe_12,bean_single,3
cafe_12,bean_decaf,2
cafe_13,milk_full,31
cafe_13,milk_oat,11
cafe_13,milk_soy,6
cafe_13,milk_almond,4
cafe_13,bean_house,3
cafe_13,bean_single,3
cafe_13,bean_decaf,1
cafe_14,milk_full,16
cafe_14,milk_oat,3
cafe_14,milk_soy,3
cafe_14,milk_almond,1
cafe_14,bean_house,1
cafe_14,bean_single,1
cafe_14,bean_decaf,0
cafe_15,milk_full,16
cafe_15,milk_oat,3
cafe_15,milk_soy,3
cafe_15,milk_almond,1
cafe_15,bean_house,1
cafe_15,bean_single,0
cafe_15,bean_decaf,0
cafe_16,milk_full,11
cafe_16,milk_oat,3
cafe_16,milk_soy,1
cafe_16,milk_almond,1
cafe_16,bean_house,1
cafe_16,bean_single,1
cafe_16,bean_decaf,0
cafe_17,milk_full,10
cafe_17,milk_oat,2
cafe_17,milk_soy,2
cafe_17,milk_almond,1
cafe_17,bean_house,1
cafe_17,bean_single,0
cafe_17,bean_decaf,0
cafe_18,milk_full,24
cafe_18,milk_oat,7
cafe_18,milk_soy,5
cafe_18,milk_almond,1
cafe_18,bean_house,3
cafe_18,bean_single,1
cafe_18,bean_decaf,0
cafe_19,milk_full,19
cafe_19,milk_oat,6
cafe_19,milk_soy,3
cafe_19,milk_almond,2
cafe_19,bean_house,1
cafe_19,bean_single,2
cafe_19,bean_decaf,0
cafe_20,milk_full,14
cafe_20,milk_oat,3
cafe_20,milk_soy,2
cafe_20,milk_almond,2
cafe_20,bean_house,1
cafe_20,bean_single,1
cafe_20,bean_decaf,1
cafe_21,milk_full,20
cafe_21,milk_oat,6
cafe_21,milk_soy,2
cafe_21,milk_almond,3
cafe_21,bean_house,2
cafe_21,bean_single,1
cafe_21,bean_decaf,0
cafe_22,milk_full,10
cafe_22,milk_oat,4
cafe_22,milk_soy,2
cafe_22,milk_almond,1
cafe_22,bean_house,2
cafe_22,bean_single,0
cafe_22,bean_decaf,0
cafe_23,milk_full,12
cafe_23,milk_oat,4
cafe_23,milk_soy,2
cafe_23,milk_almond,2
cafe_23,bean_house,1
cafe_23,bean_single,0
cafe_23,bean_decaf,1
cafe_24,milk_full,14
cafe_24,milk_oat,2
cafe_24,milk_soy,3
cafe_24,milk_almond,2
cafe_24,bean_house,2
cafe_24,bean_single,1
cafe_24,bean_decaf,0
cafe_25,milk_full,24
cafe_25,milk_oat,3
cafe_25,milk_soy,5
cafe_25,milk_almond,1
cafe_25,bean_house,2
cafe_25,bean_single,1
cafe_25,bean_decaf,1
cafe_26,milk_full,17
cafe_26,milk_oat,6
cafe_26,milk_soy,3
cafe_26,milk_almond,3
cafe_26,bean_house,2
cafe_26,bean_single,1
cafe_26,bean_decaf,0
cafe_27,milk_full,14
cafe_27,milk_oat,2
cafe_27,milk_soy,1
cafe_27,milk_almond,1
cafe_27,bean_house,1
cafe_27,bean_single,1
cafe_27,bean_decaf,1
cafe_28,milk_full,25
cafe_28,milk_oat,7
cafe_28,milk_soy,5
cafe_28,milk_almond,1
cafe_28,bean_house,1
cafe_28,bean_single,1
cafe_28,bean_decaf,1
cafe_29,milk_full,15
cafe_29,milk_oat,7
cafe_29,milk_soy,5
cafe_29,milk_almond,2
cafe_29,bean_house,2
cafe_29,bean_single,2
cafe_29,bean_decaf,0
cafe_30,milk_full,13
cafe_30,milk_oat,4
cafe_30,milk_soy,3
cafe_30,milk_almond,2
cafe_30,bean_house,1
cafe_30,bean_single,0
cafe_30,bean_decaf,0
cafe_31,milk_full,19
cafe_31,milk_oat,7
cafe_31,milk_soy,5
cafe_31,milk_almond,2
cafe_31,bean_house,2
cafe_31,bean_single,2
cafe_31,bean_decaf,0
cafe_32,milk_full,16
cafe_32,milk_oat,2
cafe_32,milk_soy,1
cafe_32,milk_almond,2
cafe_32,bean_house,1
cafe_32,bean_single,1
cafe_32,bean_decaf,1
cafe_33,milk_full,14
cafe_33,milk_oat,4
cafe_33,milk_soy,3
cafe_33,milk_almond,2
cafe_33,bean_house,1
cafe_33,bean_single,1
cafe_33,bean_decaf,0
cafe_34,milk_full,54
cafe_34,milk_oat,8
cafe_34,milk_soy,7
cafe_34,milk_almond,5
cafe_34,bean_house,3
cafe_34,bean_single,1
cafe_34,bean_decaf,2
